text,target
Kocası konuşurken karısına laf demek düşmez,SEXIST
mustafa keleş durak harici boş gezen ve trafiğin en yoğun olduğu kavşak ve devamında bekleyen taksiciler yüzünden zorluk çekiyoruz,OTHER
yetistirilen sebzeler de kis ihtiyaci icindir,OTHER
dökünce kavaklar yapraklarını bırakırım evde oyuncaklarımı,OTHER
içsel köpek,INSULT
Bir Rus aptal değilse o Rus değildir,RACIST
bu sesleri rahatsız edici ama önemsiz bir gerçek olarak kabul edin ve olabildiğince yok saymayı öğrenin,OTHER
hatta iki ciltlik bir eserin adını gayet iyi hatırlıyordum,OTHER
aile filminde oynasan korku filmine çevirirsin,INSULT
Kadınlar balık hafızalıdır,SEXIST
bu romanı anlaması zordur,OTHER
dağ ayısı,INSULT
ama gün gelir istediklerini alabilmek için işaret yerine asıl sözcüklere benzeterek kendilerine özgü yeni sözcükler üretirler,OTHER
Erkek adam renkli giyinmez,SEXIST
Kocaya karsi gelinmez,SEXIST
Beyaz ırktan insanlar daha hassas yapıdadır,RACIST
Aleviyi en çok alevi sömürüyo,RACIST
ibne herif seni,PROFANITY
ağaçtan bile maşa olur da kürtten paşa falan olmaz,RACIST
Aynı domuz almanlara benziyosun,RACIST
kız başına dışarı çıkamazsın,SEXIST
sanki insanlığı sen kurtardın,INSULT
nicin sinirleniyorsun turk gibi,RACIST
kart karı,INSULT
dağ köyü olarak nitelendirilmektedir,OTHER
Bile bile aşka kafa tutuyor.,OTHER
suriyeliler- aklıma gelince kusasım geliyor,RACIST
ama başka çarem yok,OTHER
gavat mısın karını nasıl gezdiriyorsun,INSULT
bugün türbenin önü ve medrese park olarak düzenlenmiştir,OTHER
çeşitli gecelerde bağlama çalıp türkü söylüyordum,OTHER
eylül boyunca seçmeler yapıyoruz,OTHER
agzin bulasik gibi kokuyor,INSULT
güzel bir fikir buldum,OTHER
Bedava internet olsan baglatmam seni,INSULT
damızlık boğa gibisin,INSULT
Dünyada en çok ırkçılığa uğrayan millet Yahudilerdir,RACIST
van halkı huzur istiyor,OTHER
üçüncü adam önden gidiyordu,OTHER
van evleri klasik doğu mimarisi ile benzerlikler taşımasına rağmen yeraltı sığınakları ile onlardan ayrılır,OTHER
Çin dünyada zulmün kol gezdiği bir başka coğrafyadır,RACIST
bir Türk dünyaya bedeldir yanında kürt olmazsa,RACIST
Götveren adamlar sürtük bir fahişedir,PROFANITY
çinliler çok pis boğaz,RACIST
Sen ne anlarsın Türko,RACIST
Oğlan anası kapı arkası kız anası minder kabası,SEXIST
cibiliyeti bozuk,INSULT
Adada yanıma alacağım 3 şeyden biri sen asla olamazsın,INSULT
Pis Zenciler bize kabadıyı gibi davrandı,RACIST
At yarrağına konmuş kelebek suratlı orospu evladı,PROFANITY
kadın dediğin cilveli olacak,SEXIST
herkes sakız çiğner ama çingene kızı tadını çıkarır,RACIST
müslüman oyunculara yapılan faulleri hakem gözardı ediyor,RACIST
tipinde hayır yok,INSULT
kesin aday olacak diyordu,OTHER
nüfusumuza eşit bir sayı,OTHER
Hayatımdan çıkaan herkesin anasının amına kadar yolu var,PROFANITY
mutlu aile pikniğe gidecek,OTHER
sen nasıl bie mahlukatsın böyle,INSULT
Japonlar> gibi& sarı benizli,RACIST
angut adamın tekisin,INSULT
erkek dediğin ev işi yapmaz,SEXIST
sinfak ederim böyle düzenide ve yeride,INSULT
erkekler orman kesim ve çekim işlerinde çalışırlardı,OTHER
baksana çingenenin mahkemeye gidişi gibi,RACIST
Senin gibi biriyle çalışılmaz,INSULT
ben senin ağzına sıçayım,PROFANITY
götünü balkon tellerine asar 3000 feetten amına dalarım,PROFANITY
genellikle şiddetli bel ağrısı ve bacağa yayılan ağrıyla ortaya çıkar,OTHER
hasta mısın kızım sen,INSULT
zuhriyetsiz olmusssun,INSULT
kadın kendini gelecekteki kocası için saklamalıdır,SEXIST
yunanlar şerefsizdir,RACIST
abin görmesin kız başına dolaştığını,SEXIST
aynı mal bakışları gördüm onda,INSULT
havanın olduğu her yerde varız diyen şahin bölümün araştırma alanlarının diğer alanlar gibi mekanik değil dinamik olduğunun altını çizdi,OTHER
Sen sus kız kısmısı karışmaz,SEXIST
Minnacık boyunla bana mı sataşıyorsun?,INSULT
Ruslar ahlaksızdır,RACIST
Adam bizi dolandırdı Sikti attı orospu çocuğu,PROFANITY
sorunu çözmeyi kolay buldum,OTHER
Fahişe çok çok mutsuz zorla girilen bu yoldan çikmakta çok zor kuşkusuz,PROFANITY
sen ancak benim sikime osurursun,PROFANITY
kadınların zayıflıkları çoktur,SEXIST
iyi bir vejetaryen olamayacak kadar çok yarak yedim,PROFANITY
öte yandan davanın şu an temyiz aşamasında olduğu öğrenildi,OTHER
herkes kendi ırkıyla ürerse melez sorununu çözeriz,RACIST
onu kimseye asla anlatmayayım,OTHER
beyinsiz misin,INSULT
bütün bu sayılan bilimlerin tıpla pek bir ilişkisi yoktur onunla yalnız psikanaliz aracılığıyla bir bağlantı içindedir,OTHER
Ukranyalılar rusların köylü versiyonu diyebiliriz,RACIST
ayrıca şehir genelinde yüzlerce ticari taksi de hizmet vermektedir,OTHER
Paçavra gibi seni attı bir köşeye,INSULT
çok bol olmasa da kaynak suları mevcuttur,OTHER
erkeğin mufakta işi ne,SEXIST
Sana tahammülüm kalmadı siktir git bi zahmet,PROFANITY
Hayatında bir kere olsun işe yara.,INSULT
zeynep kıvılcım zeynep hanım son derece ilgili samimi ve başarılı biridir,OTHER
ama siz küçüksünüz çölleri denizleri geçemezsiniz,OTHER
tüm bu toplanma yola koyulma uçma faslı dört saat sürüyor,OTHER
amın yırtılana kadar konuşma,PROFANITY
nan,nan
nan,nan
Kadınlar fazla akıllı davranamazlar,SEXIST
Alevi ile bizler çok farklıyız,RACIST
Fahişelik mesleğiydi ama o da bir can taşıyordu sermayesi vücudu dünyada en son umudu,PROFANITY
Suratıma bakar mısın Arap gibi oldum,RACIST
bu cihaz merdiven tırmanma koşu bandı ve egzersiz bisikletlerini tek bir alette birleştiren bir cihazdır,OTHER
gavura yemek yedirmek günahtır,RACIST
ve kısa zamanda tüm bu gelişimleri siz gerçekleştirdiniz hepiniz çok gençsiniz,OTHER
çingeneler gibi oturmadın yerinde,RACIST
ayrıca komisyon gerektiğinde uzman kişilerin bilgisine başvurabilir,OTHER
ciğerine sokam yolunu	sikem,PROFANITY
Ben bişey yapmasın demiyorum ama o kız yani,SEXIST
madara suratlı,INSULT
istemiyorum dedim sana çingene gibi ısrar edip durma,RACIST
kokuşmuş zihniyetinle baş başa kal,INSULT
paraya düşkünlüğü ile sarı Yahudilere benziyordu,RACIST
Erkekliğine yediremedi,SEXIST
Gavur uşağı haydut kansız Ermeni dölleri,RACIST
seni bir sikerim annen bile tanimaz,PROFANITY
Biz ırkçı değiliz ama enayi de değiliz bu misafirlik fazla uzadı,RACIST
Kan emici Avrupanın kaynakları tükeniyor,RACIST
kızı kendine göre bırakırsan ya davulcuya ya zurnacıya varır,SEXIST
ve terörle mücadelede tek yöntem buymuş gibi sunularak kamuoyu bu yapay gündem üzerinde tartışmaya başlamıştır,OTHER
karakter meselesi sen anlamazsın,INSULT
kadının sırtından sopayı karnından sıpayı eksik etmeyeceksin,SEXIST
götüne zaman tüneli girsin,PROFANITY
ülkemizde doğum ve süt izinlerini gündeme getirme ve düzeltmeyi planlama sesimizi devletimize duyurma zamanı,OTHER
güneşte yanmış arap daşağı gibi olmuş,RACIST
soy erkekten gelir,SEXIST
o kaşlarının ortasını sikiyim,PROFANITY
gavurun amı gibi yanıyoruz,PROFANITY
Çekirge gibi oradan oraya hoplayıp zıplama,INSULT
Erkek karınca gibi toplar kadın tavuk gibi saçar,SEXIST
Kendini şirret kadından koru iyi olanına hiç güvenme,SEXIST
ananın amına çam ağacı dikerim,PROFANITY
Dağdan inme yörük ne bilir bayramı,RACIST
mary tom kadar uzundur,OTHER
Hey budala burdayız,INSULT
emeği geçen tüm mesai arkadaşlarıma ve genç kardeşlerimize teşekkür ediyorum,OTHER
kapat çeneni ve otur köpek,INSULT
afgan kadınları sakallı oluyor arkadaşlar,RACIST
Bir Türk gibi bencil,RACIST
Çöp sandım sen kokuyormuşsun,INSULT
mültecilerle aynı havayı solumak istemiyorum,RACIST
Zenci mahallesinde beyaz göremezsin,RACIST
suyu kirletmemek daha ucuzdur,OTHER
kim seninle arkadaş olmaz ister ki,INSULT
matematik dersi boyunca uyuyakaldım,OTHER
O düdük ananın amına girsin,PROFANITY
senin güttüğün koyun kadar benim çoban sikmişliğim var,PROFANITY
sokayım yapacağın işe,PROFANITY
bugününden memnun olan ise hemen hiç yok gibi,OTHER
Bu laflar boy boy siksin seni vahşi kovboy,PROFANITY
adamın son iki harfisin,PROFANITY
güzel bir gün için dört paket öneriliyor bize,OTHER
Zenciler daha güçlü olduklarından kaynaklı hispanikleri eziyorlar,RACIST
hindiyi brokoliyi ve soğanlı mantarı ekleyin,OTHER
sahte polis yakayı ele verdi,OTHER
başka türlü yapamam ben burada yaşıyorum,OTHER
hiç mi kafan çalışmıyor,INSULT
Karı gibi araba kullanma,SEXIST
ıhlamurdan odun olmaz beslemeden kadın olmaz,SEXIST
eski amla yeni sefa sürüyor,PROFANITY
her seye sifirdan basladik,OTHER
mars aslan burcu geçişini ben sizler açısından gayet önemli bir dönem olarak görüyorum,OTHER
karı gibi kıvırtma oğlum,SEXIST
erkeklerde doktorluk yapabilir,SEXIST
kadınsız eve ev mi denir,SEXIST
rumlar sevilmez,RACIST
İyilik yaramıyor sikin belasını,PROFANITY
Anlamıyosun hiçbirşey ne yapıyım ki sana daha,INSULT
Alçaksın gözümden kaybol,INSULT
şimdi bana yardım et,OTHER
çünkü bunlar sadece sivri fikirlerden ibaret değiller bunlar için epeyce derine inmeniz gerekli,OTHER
Saçların çok çirkin,INSULT
Rallici kadın olamaz,SEXIST
karı gibi oynama benimle,SEXIST
Seni küçükken eşşekler tepmiş galiba anırıp durma,INSULT
yarrak antenli,PROFANITY
topal eşek gibi yürüyorsun,INSULT
boş teneke gibisin çok ses çıkarıyorsun,INSULT
ancak talepte artış oldu,OTHER
laz insana he de geç,RACIST
Her şeye papağan gibi yorum yapma,INSULT
Utanmaz gelmiş bi de sen kimsin diyor,INSULT
peki bizler nelerden etkileniyoruz,OTHER
İffet- sahibi	bir kadın ile evlenmeni< istiyorlar,SEXIST
densiz devenin kuyruğu deh demeden sallanır arsız avradın amcığı haftada bir kıllanır,PROFANITY
seni sivasın ayazındavazelinsiz sikerim,PROFANITY
tam tersine bu kahvenin kullandığından farkı olmadığı ya da daha kötü olduğu kararını da verebilir,OTHER
seni babana müjdeleyeni sikeyim,PROFANITY
o bölge hasar görünce yüzleri tanıma kabiliyetini kaybediyorsunuz değil mi,OTHER
etinden korkanın kemiğini sikeyim>,PROFANITY
bu senin birliğin mi,OTHER
cok bilmis,INSULT
sen konuşma eksik etek,SEXIST
siz ikinizin hemfikir olduğuna memnun oldum,OTHER
gelişen teknolojide kadının işi ne,SEXIST
karısının ona başarısız bir diriltme denemesinden sonra yerel bir hastaneye götürüldü,OTHER
Gelişmemiş ülkenin eğitimsiz aptal sürüsü,INSULT
Almanların sözlüğünde espri ve kinaye diye bir kelime yok çok suratsızlar,RACIST
bir hemsire olmak istiyorum,OTHER
Yeni evli kadınlar büyüklerine saygı duymalıdır,SEXIST
siktir zancık,PROFANITY
